"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2015,3,"AA","American Airlines Inc.","JFK","New York, NY: John F. Kennedy International",1358.00,353.00,69.20,3.44,195.21,0.00,85.15,69.00,10.00,23412.00,4694.00,606.00,9525.00,0.00,8587.00,
2015,3,"AA","American Airlines Inc.","LAX","Los Angeles, CA: Los Angeles International",2815.00,627.00,184.44,16.42,257.79,1.44,166.91,46.00,8.00,42238.00,16585.00,1343.00,9544.00,36.00,14730.00,
2015,3,"AA","American Airlines Inc.","DFW","Dallas/Fort Worth, TX: Dallas/Fort Worth International",12700.00,2271.00,629.34,35.45,662.45,0.72,943.05,511.00,13.00,148334.00,55859.00,4119.00,22446.00,20.00,65890.00,
2015,3,"AA","American Airlines Inc.","HNL","Honolulu, HI: Daniel K Inouye International",184.00,62.00,30.60,0.00,20.58,0.00,10.82,2.00,0.00,6275.00,3107.00,0.00,876.00,0.00,2292.00,
2015,3,"AA","American Airlines Inc.","SFO","San Francisco, CA: San Francisco International",902.00,172.00,71.10,5.85,43.52,0.00,51.54,23.00,1.00,10636.00,4640.00,522.00,1678.00,0.00,3796.00,
2015,3,"AA","American Airlines Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",497.00,117.00,57.82,0.98,28.15,0.00,30.04,15.00,0.00,5678.00,3121.00,63.00,756.00,0.00,1738.00,
2015,3,"AA","American Airlines Inc.","LAS","Las Vegas, NV: McCarran International",889.00,168.00,65.55,2.98,42.70,1.00,55.76,19.00,1.00,9746.00,3673.00,183.00,1833.00,37.00,4020.00,
2015,3,"AA","American Airlines Inc.","BOS","Boston, MA: Logan International",882.00,216.00,83.87,6.36,62.26,0.00,63.51,22.00,4.00,11960.00,4762.00,652.00,2434.00,0.00,4112.00,
2015,3,"AA","American Airlines Inc.","ORD","Chicago, IL: Chicago O'Hare International",4312.00,869.00,216.30,13.73,299.75,1.04,338.18,110.00,4.00,54991.00,15463.00,1267.00,13146.00,25.00,25090.00,
2015,3,"AA","American Airlines Inc.","DCA","Washington, DC: Ronald Reagan Washington National",932.00,239.00,83.69,6.23,88.98,1.27,58.83,46.00,7.00,10861.00,4018.00,427.00,3445.00,26.00,2945.00,
2015,3,"AA","American Airlines Inc.","MIA","Miami, FL: Miami International",4466.00,920.00,283.86,18.26,327.06,1.00,289.82,73.00,2.00,56593.00,22082.00,2385.00,10376.00,19.00,21731.00,
2015,3,"AA","American Airlines Inc.","IAD","Washington, DC: Washington Dulles International",214.00,54.00,19.40,0.00,15.92,0.00,18.68,5.00,0.00,2716.00,966.00,0.00,502.00,0.00,1248.00,
2015,3,"AA","American Airlines Inc.","PHX","Phoenix, AZ: Phoenix Sky Harbor International",538.00,118.00,44.88,2.09,29.35,1.35,40.32,8.00,0.00,6151.00,2661.00,260.00,1046.00,36.00,2148.00,
2015,3,"AA","American Airlines Inc.","MCO","Orlando, FL: Orlando International",900.00,215.00,103.20,3.67,53.25,0.21,54.66,15.00,2.00,11892.00,6453.00,158.00,1565.00,10.00,3706.00,
2015,3,"AA","American Airlines Inc.","PHL","Philadelphia, PA: Philadelphia International",298.00,80.00,32.58,0.00,27.92,0.00,19.50,7.00,1.00,4309.00,1531.00,0.00,1275.00,0.00,1503.00,
2015,3,"AA","American Airlines Inc.","SAN","San Diego, CA: San Diego International",463.00,95.00,43.68,2.24,17.02,0.00,32.06,12.00,4.00,5251.00,2237.00,181.00,677.00,0.00,2156.00,
2015,3,"AA","American Airlines Inc.","SEA","Seattle, WA: Seattle/Tacoma International",374.00,67.00,26.17,3.56,13.33,0.00,23.95,8.00,0.00,4142.00,1607.00,550.00,551.00,0.00,1434.00,
2015,3,"AA","American Airlines Inc.","DTW","Detroit, MI: Detroit Metro Wayne County",243.00,59.00,30.06,0.00,7.74,0.00,21.21,10.00,0.00,3093.00,1642.00,0.00,246.00,0.00,1205.00,
